GEO_TTL,SECTOR,NAICS2017,NAICS2017_TTL,YEAR,FIRM,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,RCPTOT_IMP,PAYANN_IMP,EMP_IMP,AVG SALARY(PAYANN/EMP)
Alabama,52,524210,Insurance agencies and brokerages,2017,1594,1682,1409789,482924,133678,7652,0,0,0,63.11
Alabama,52,524291,Claims adjusting,2017,64,74,782294,372600,46334,3499,0,0,0,106.49
Alabama,52,524292,Third party administration of insurance and pension funds,2017,51,57,376496,120809,29880,1888,0,0,0,63.99
Alabama,52,524298,All other insurance related activities,2017,15,17,12586,6582,1620,123,0,0,0,53.51
Alaska,52,522110,Commercial banking,2017,9,139,0,132380,35166,2063,0,0,0,64.17
Alaska,52,522291,Consumer lending,2017,3,3,5519,1255,263,22,0,0,0,57.05
Alaska,52,522292,Real estate credit,2017,15,41,57697,29080,6581,348,0,0,0,83.56
Alaska,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,7,7,1644,290,72,8,0,0,0,36.25
Alaska,52,523920,Portfolio management,2017,34,77,83716,34979,8835,291,0,0,0,120.2
Alaska,52,523930,Investment advice,2017,30,30,17573,6399,1342,96,0,0,0,66.66
Alaska,52,524113,Direct life insurance carriers,2017,7,13,0,9725,2572,113,0,0,0,86.06
Alaska,52,524126,Direct property and casualty insurance carriers,2017,13,21,0,24921,8434,283,0,0,0,88.06
Alaska,52,524210,Insurance agencies and brokerages,2017,191,203,155491,62436,15626,982,0,0,0,63.58
Arizona,52,521110,Monetary authorities - central bank,2017,1,1,0,3102,797,47,0,0,0,66.0
Arizona,52,522110,Commercial banking,2017,84,1353,0,2355138,713746,35394,0,0,0,66.54
Arizona,52,522120,Savings institutions,2017,10,77,0,150976,46434,2345,0,0,0,64.38
Arizona,52,522130,Credit unions,2017,54,285,987970,267315,69415,4903,0,0,0,54.52
Arizona,52,522220,Sales financing,2017,86,113,2530765,188848,48251,3275,0,0,0,57.66
Arizona,52,522291,Consumer lending,2017,51,98,1005938,228095,65236,2958,0,0,0,77.11
Arizona,52,522292,Real estate credit,2017,169,493,2907319,1131320,271111,13277,0,0,0,85.21
Arizona,52,522310,Mortgage and nonmortgage loan brokers,2017,218,236,455851,193049,47790,2201,0,0,0,87.71
Arizona,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,83,100,1365000,337294,91415,6871,0,0,0,49.09
Arizona,52,522390,Other activities related to credit intermediation,2017,67,281,482328,137764,40430,2950,0,0,0,46.7
Arizona,52,523120,Securities brokerage,2017,142,499,2314625,780193,223407,6538,0,0,0,119.33
Arizona,52,523910,Miscellaneous intermediation,2017,148,148,238372,31233,7588,409,0,0,0,76.36
Arizona,52,523920,Portfolio management,2017,517,825,1206543,461272,142518,4428,0,0,0,104.17
Arizona,52,523930,Investment advice,2017,432,462,672493,251411,73130,3720,0,0,0,67.58
Arizona,52,523991,"Trust, fiduciary, and custody activities",2017,55,60,29181,12952,3490,224,0,0,0,57.82
Arizona,52,523999,Miscellaneous financial investment activities,2017,16,16,7464,1723,341,29,0,0,0,59.41
Arizona,52,524113,Direct life insurance carriers,2017,54,188,0,389971,116167,4516,0,0,0,86.35
Arizona,52,524114,Direct health and medical insurance carriers,2017,45,169,0,1136462,328281,15686,0,0,0,72.45
Arizona,52,524126,Direct property and casualty insurance carriers,2017,113,449,0,1404674,417693,21187,0,0,0,66.3
Arizona,52,524210,Insurance agencies and brokerages,2017,2650,2800,2514887,704098,173921,12238,0,0,0,57.53
Arizona,52,524291,Claims adjusting,2017,75,88,60228,17888,4283,335,0,0,0,53.4
Arizona,52,524292,Third party administration of insurance and pension funds,2017,81,114,19431842,589674,201747,8262,0,0,0,71.37
Arizona,52,524298,All other insurance related activities,2017,64,64,95937,39429,13875,516,0,0,0,76.41
Arkansas,52,521110,Monetary authorities - central bank,2017,1,1,0,756,157,28,0,0,0,27.0
Arkansas,52,523999,Miscellaneous financial investment activities,2017,6,6,10373,2111,586,45,0,0,0,46.91
Arkansas,52,524113,Direct life insurance carriers,2017,32,57,0,80222,25516,1234,0,0,0,65.01
Arkansas,52,524114,Direct health and medical insurance carriers,2017,19,54,0,259119,82994,3720,0,0,0,69.66
Arkansas,52,524127,Direct title insurance carriers,2017,7,8,0,1244,317,40,0,0,0,31.1
California,52,521110,Monetary authorities - central bank,2017,2,3,14660000,199918,47042,1480,0,0,0,135.08
California,52,522110,Commercial banking,2017,296,8076,0,13874313,4361893,150617,0,0,0,92.12
California,52,522120,Savings institutions,2017,29,168,0,226972,52470,2374,0,0,0,95.61
California,52,522130,Credit unions,2017,322,1497,7615744,1881321,496489,28554,0,0,0,65.89
California,52,522210,Credit card issuing,2017,10,47,4872842,168634,61376,1516,0,0,0,111.24
California,52,522220,Sales financing,2017,334,482,13620190,895418,250695,10359,0,0,0,86.44
California,52,522291,Consumer lending,2017,264,639,4842878,1084112,311500,10042,0,0,0,107.96
California,52,522292,Real estate credit,2017,749,2299,20362856,5252304,1537783,51006,0,0,0,102.97
California,52,522293,International trade financing,2017,46,46,79566,4627,1136,95,0,0,0,48.71
California,52,522310,Mortgage and nonmortgage loan brokers,2017,2076,2351,2943413,1091375,278012,12761,0,0,0,85.52
California,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,505,644,20374057,3890386,891619,23135,0,0,0,168.16
California,52,522390,Other activities related to credit intermediation,2017,570,2229,4049736,883174,223885,15072,0,0,0,58.6
California,52,523110,Investment banking and securities dealing,2017,416,506,6107189,2040699,904536,6192,0,0,0,329.57
California,52,523120,Securities brokerage,2017,683,3023,16253684,5156270,1607142,26011,0,0,0,198.23
California,52,523130,Commodity contracts dealing,2017,68,111,353960,65485,14478,918,0,0,0,71.33
California,52,523140,Commodity contracts brokerage,2017,73,74,139916,36981,12989,550,0,0,0,67.24
California,52,523920,Portfolio management,2017,3380,4515,35984703,11918739,3138153,42864,0,0,0,278.06
California,52,523930,Investment advice,2017,2653,2794,4462279,1652335,446733,11549,0,0,0,143.07
California,52,523991,"Trust, fiduciary, and custody activities",2017,445,462,966221,194611,50456,2748,0,0,0,70.82
California,52,523999,Miscellaneous financial investment activities,2017,60,65,112244,31725,9373,291,0,0,0,109.02
California,52,524113,Direct life insurance carriers,2017,87,667,0,1593494,605277,14356,0,0,0,111.0
California,52,524114,Direct health and medical insurance carriers,2017,107,440,0,5636125,1734906,57669,0,0,0,97.73
California,52,524126,Direct property and casualty insurance carriers,2017,212,997,0,3716629,1153096,39791,0,0,0,93.4
California,52,524127,Direct title insurance carriers,2017,18,734,0,1224814,303937,12994,0,0,0,94.26
California,52,524128,"Other direct insurance (except life, health, and medical) carriers",2017,45,48,0,162527,43104,1153,0,0,0,140.96
California,52,524130,Reinsurance carriers,2017,16,34,0,88619,34909,625,0,0,0,141.79
California,52,524210,Insurance agencies and brokerages,2017,13205,14614,17040636,6148366,1597809,83047,0,0,0,74.03
California,52,524291,Claims adjusting,2017,253,358,699321,285522,74904,4112,0,0,0,69.44
California,52,524292,Third party administration of insurance and pension funds,2017,392,527,6442090,1405769,390669,19381,0,0,0,72.53
California,52,524298,All other insurance related activities,2017,211,235,885911,226221,56562,3006,0,0,0,75.26
Colorado,52,521110,Monetary authorities - central bank,2017,1,1,0,13926,3283,145,0,0,0,96.04
Colorado,52,522110,Commercial banking,2017,149,1612,0,1527807,477019,21254,0,0,0,71.88
Colorado,52,522120,Savings institutions,2017,22,77,0,39353,11571,715,0,0,0,55.04
Colorado,52,522130,Credit unions,2017,78,299,1138051,269746,74815,4420,0,0,0,61.03
Colorado,52,522210,Credit card issuing,2017,4,6,1934777,99896,27052,1647,0,0,0,60.65
Colorado,52,522220,Sales financing,2017,60,72,1792430,107982,29021,1548,0,0,0,69.76
Colorado,52,522291,Consumer lending,2017,30,56,256555,48738,16766,632,0,0,0,77.12
Colorado,52,522292,Real estate credit,2017,166,456,3277327,956021,252047,9998,0,0,0,95.62
Colorado,52,522310,Mortgage and nonmortgage loan brokers,2017,323,337,265169,101920,22025,1410,0,0,0,72.28
Colorado,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,108,146,5777507,784648,232818,7239,0,0,0,108.39
Colorado,52,522390,Other activities related to credit intermediation,2017,104,240,282384,75846,21167,1496,0,0,0,50.7
Colorado,52,523110,Investment banking and securities dealing,2017,86,95,246741,85777,26444,421,0,0,0,203.75
Colorado,52,523120,Securities brokerage,2017,223,509,2136105,829061,249577,5894,0,0,0,140.66
Colorado,52,523130,Commodity contracts dealing,2017,19,23,14194,6462,1736,78,0,0,0,82.85
Colorado,52,523140,Commodity contracts brokerage,2017,15,15,25622,3899,869,46,0,0,0,84.76
Colorado,52,523910,Miscellaneous intermediation,2017,260,261,515788,125373,37507,1110,0,0,0,112.95
Colorado,52,523920,Portfolio management,2017,752,1197,2664387,1087297,386727,6720,0,0,0,161.8
Colorado,52,523930,Investment advice,2017,521,544,785078,245774,68675,3067,0,0,0,80.13
Colorado,52,523991,"Trust, fiduciary, and custody activities",2017,36,36,194904,41185,8503,410,0,0,0,100.45
Colorado,52,523999,Miscellaneous financial investment activities,2017,25,25,61683,15502,3929,166,0,0,0,93.39
Colorado,52,524113,Direct life insurance carriers,2017,48,181,0,642611,217775,6480,0,0,0,99.17
Colorado,52,524114,Direct health and medical insurance carriers,2017,32,96,0,465059,139224,5548,0,0,0,83.82
Colorado,52,524126,Direct property and casualty insurance carriers,2017,65,384,0,652982,202708,8340,0,0,0,78.3
Colorado,52,524127,Direct title insurance carriers,2017,15,137,0,120587,28823,1850,0,0,0,65.18
Colorado,52,524210,Insurance agencies and brokerages,2017,2992,3168,2352262,781233,194834,12504,0,0,0,62.48
Colorado,52,524291,Claims adjusting,2017,88,98,83137,27610,5726,431,0,0,0,64.06
Colorado,52,524292,Third party administration of insurance and pension funds,2017,66,74,1404247,324529,97401,5266,0,0,0,61.63
Colorado,52,524298,All other insurance related activities,2017,39,41,71183,18557,5038,290,0,0,0,63.99
Connecticut,52,522110,Commercial banking,2017,49,978,0,1151850,377223,13315,0,0,0,86.51
Connecticut,52,522120,Savings institutions,2017,29,383,0,360177,100717,5048,0,0,0,71.35
Connecticut,52,522130,Credit unions,2017,102,228,429296,121737,31031,2187,0,0,0,55.66
Connecticut,52,522220,Sales financing,2017,58,76,3391953,779402,382364,3340,0,0,0,233.35
Connecticut,52,522291,Consumer lending,2017,11,13,62987,8277,2774,69,0,0,0,119.96
Connecticut,52,522292,Real estate credit,2017,74,145,569403,210499,60239,2181,0,0,0,96.51
Connecticut,52,522310,Mortgage and nonmortgage loan brokers,2017,70,75,63541,33443,12784,340,0,0,0,98.36
Connecticut,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,46,49,288822,83780,24117,879,0,0,0,95.31
Connecticut,52,522390,Other activities related to credit intermediation,2017,44,64,19017,6511,1554,215,0,0,0,30.28
Connecticut,52,523110,Investment banking and securities dealing,2017,64,73,1104132,378396,117692,1664,0,0,0,227.4
Connecticut,52,523120,Securities brokerage,2017,135,361,2952369,853031,271966,4565,0,0,0,186.86
Connecticut,52,523920,Portfolio management,2017,671,817,12269588,4293018,1555982,12584,0,0,0,341.15
Connecticut,52,523930,Investment advice,2017,301,331,888025,305421,119248,1969,0,0,0,155.11
Connecticut,52,523991,"Trust, fiduciary, and custody activities",2017,20,20,199896,16130,4968,200,0,0,0,80.65
Connecticut,52,524113,Direct life insurance carriers,2017,43,199,0,1838632,675336,14278,0,0,0,128.77
Connecticut,52,524114,Direct health and medical insurance carriers,2017,23,62,0,2067705,747257,14970,0,0,0,138.12
Connecticut,52,524126,Direct property and casualty insurance carriers,2017,69,186,0,1835605,692452,13872,0,0,0,132.32
Connecticut,52,524130,Reinsurance carriers,2017,14,33,0,378534,171728,1939,0,0,0,195.22
Connecticut,52,524210,Insurance agencies and brokerages,2017,1252,1373,1854827,811125,246967,9551,0,0,0,84.93
Connecticut,52,524291,Claims adjusting,2017,54,62,45801,19402,5138,244,0,0,0,79.52
Connecticut,52,524292,Third party administration of insurance and pension funds,2017,53,61,1854131,258483,78779,4253,0,0,0,60.78
Connecticut,52,524298,All other insurance related activities,2017,33,37,164545,81241,23489,1128,0,0,0,72.02
Delaware,52,522110,Commercial banking,2017,40,278,0,1646924,534131,17282,0,0,0,95.3
Delaware,52,522120,Savings institutions,2017,6,64,0,88458,30253,1114,0,0,0,79.41
Delaware,52,522130,Credit unions,2017,21,45,106364,25316,6327,583,0,0,0,43.42
Delaware,52,522210,Credit card issuing,2017,10,35,30352336,572701,193834,6504,0,0,0,88.05
Delaware,52,522291,Consumer lending,2017,28,50,2164694,192369,101635,2321,0,0,0,82.88
Delaware,52,522292,Real estate credit,2017,45,75,135628,52749,11898,464,0,0,0,113.68
Delaware,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,21,32,695094,102514,34571,927,0,0,0,110.59
Delaware,52,523130,Commodity contracts dealing,2017,9,9,3092,686,127,11,0,0,0,62.36
Delaware,52,523920,Portfolio management,2017,161,199,2132614,288790,112409,1980,0,0,0,145.85
Delaware,52,523991,"Trust, fiduciary, and custody activities",2017,31,42,1052173,50820,16759,475,0,0,0,106.99
Delaware,52,524210,Insurance agencies and brokerages,2017,309,327,260256,101589,25684,1658,0,0,0,61.27
Delaware,52,524291,Claims adjusting,2017,8,8,27947,4887,1692,60,0,0,0,81.45
District Of Columbia,52,522293,International trade financing,2017,3,3,1433,218,40,2,0,0,0,109.0
District Of Columbia,52,523110,Investment banking and securities dealing,2017,22,29,125202,46824,15719,150,0,0,0,312.16
District Of Columbia,52,523130,Commodity contracts dealing,2017,8,8,4752,3558,1132,16,0,0,0,222.38
District Of Columbia,52,523140,Commodity contracts brokerage,2017,3,5,17506,7585,1675,83,0,0,0,91.39
District Of Columbia,52,523991,"Trust, fiduciary, and custody activities",2017,10,10,63548,11108,2770,66,0,0,0,168.3
District Of Columbia,52,523999,Miscellaneous financial investment activities,2017,5,5,3256,1177,260,10,0,0,0,117.7
District Of Columbia,52,524113,Direct life insurance carriers,2017,21,43,0,51308,17155,330,0,0,0,155.48
District Of Columbia,52,524114,Direct health and medical insurance carriers,2017,15,28,0,134990,48208,1215,0,0,0,111.1
District Of Columbia,52,524126,Direct property and casualty insurance carriers,2017,21,28,0,68273,23140,827,0,0,0,82.56
District Of Columbia,52,524292,Third party administration of insurance and pension funds,2017,11,12,763287,66694,20555,585,0,0,0,114.01
Florida,52,521110,Monetary authorities - central bank,2017,1,2,0,22459,5568,267,0,0,0,84.12
Florida,52,522110,Commercial banking,2017,259,5627,0,6395298,1958482,85051,0,0,0,75.19
Florida,52,522120,Savings institutions,2017,23,231,0,375685,105149,4185,0,0,0,89.77
Florida,52,522130,Credit unions,2017,143,969,4929952,1044164,300309,19696,0,0,0,53.01
Florida,52,522210,Credit card issuing,2017,11,65,3690436,307885,89698,5135,0,0,0,59.96
Florida,52,522291,Consumer lending,2017,214,369,1055123,197948,61822,2712,0,0,0,72.99
Florida,52,522310,Mortgage and nonmortgage loan brokers,2017,616,649,460478,174625,39592,2467,0,0,0,70.78
Florida,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,323,383,3733484,795854,226194,9477,0,0,0,83.98
Florida,52,523110,Investment banking and securities dealing,2017,236,281,1661959,446065,118853,2304,0,0,0,193.6
Florida,52,523120,Securities brokerage,2017,559,2000,9131137,3079773,837474,21245,0,0,0,144.96
Florida,52,523130,Commodity contracts dealing,2017,55,62,210573,12606,3051,481,0,0,0,26.21
Florida,52,523140,Commodity contracts brokerage,2017,61,64,176553,43824,10804,327,0,0,0,134.02
Florida,52,523910,Miscellaneous intermediation,2017,629,630,738488,189302,57645,2527,0,0,0,74.91
Florida,52,523920,Portfolio management,2017,1598,2317,5353071,2072686,627767,12917,0,0,0,160.46
Florida,52,523930,Investment advice,2017,1433,1539,1439683,438772,115673,5281,0,0,0,83.09
Florida,52,523991,"Trust, fiduciary, and custody activities",2017,122,134,650185,146587,37969,1632,0,0,0,89.82
Florida,52,523999,Miscellaneous financial investment activities,2017,187,192,518025,180634,62987,2096,0,0,0,86.18
Florida,52,524113,Direct life insurance carriers,2017,93,483,0,1437988,468467,14358,0,0,0,100.15
Florida,52,524114,Direct health and medical insurance carriers,2017,113,506,0,2617092,817780,34843,0,0,0,75.11
Florida,52,524126,Direct property and casualty insurance carriers,2017,226,1082,0,2510857,720895,34467,0,0,0,72.85
Florida,52,524127,Direct title insurance carriers,2017,139,358,0,243727,63006,4094,0,0,0,59.53
Florida,52,524128,"Other direct insurance (except life, health, and medical) carriers",2017,59,68,0,223676,62758,2907,0,0,0,76.94
Florida,52,524130,Reinsurance carriers,2017,26,32,0,104245,39764,604,0,0,0,172.59
Florida,52,524210,Insurance agencies and brokerages,2017,8565,9279,10378066,3071270,779609,51171,0,0,0,60.02
Florida,52,524291,Claims adjusting,2017,623,680,1023768,294080,66267,4145,0,0,0,70.95
Florida,52,524292,Third party administration of insurance and pension funds,2017,222,298,12564074,804970,218516,12768,0,0,0,63.05
Florida,52,524298,All other insurance related activities,2017,408,421,643593,287676,84496,3593,0,0,0,80.07
Georgia,52,521110,Monetary authorities - central bank,2017,2,2,6971000,156405,39164,1425,0,0,0,109.76
Georgia,52,522110,Commercial banking,2017,256,2763,0,2808421,902111,41250,0,0,0,68.08
Georgia,52,522210,Credit card issuing,2017,5,26,2592897,158084,50938,1406,0,0,0,112.44
Georgia,52,522220,Sales financing,2017,128,182,4269760,289975,83866,3838,0,0,0,75.55
Georgia,52,522291,Consumer lending,2017,225,956,1031948,209551,56620,4413,0,0,0,47.48
Georgia,52,522310,Mortgage and nonmortgage loan brokers,2017,209,212,323701,128940,34418,1347,0,0,0,95.72
Georgia,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,139,163,5482362,978151,284145,13438,0,0,0,72.79
Georgia,52,522390,Other activities related to credit intermediation,2017,144,264,150215,41372,9595,1069,0,0,0,38.7
Georgia,52,523110,Investment banking and securities dealing,2017,83,95,2065679,551067,220749,1935,0,0,0,284.79
Georgia,52,523120,Securities brokerage,2017,189,614,1948709,910660,294201,4805,0,0,0,189.52
Georgia,52,523130,Commodity contracts dealing,2017,4,8,6321,751,203,13,0,0,0,57.77
Georgia,52,523140,Commodity contracts brokerage,2017,10,10,4077,2762,746,70,0,0,0,39.46
Georgia,52,523930,Investment advice,2017,446,474,660850,271571,110812,1823,0,0,0,148.97
Georgia,52,524113,Direct life insurance carriers,2017,55,245,0,1180539,404168,12277,0,0,0,96.16
Georgia,52,524114,Direct health and medical insurance carriers,2017,36,127,0,821016,253836,10318,0,0,0,79.57
Georgia,52,524126,Direct property and casualty insurance carriers,2017,142,550,0,2024336,635305,27516,0,0,0,73.57
Georgia,52,524130,Reinsurance carriers,2017,11,17,0,228636,98869,1562,0,0,0,146.37
Georgia,52,524210,Insurance agencies and brokerages,2017,4116,4420,4784466,1744145,446200,23643,0,0,0,73.77
Georgia,52,524292,Third party administration of insurance and pension funds,2017,83,102,1577536,255595,68438,5355,0,0,0,47.73
Hawaii,52,522110,Commercial banking,2017,15,213,0,378959,126912,5198,0,0,0,72.9
Hawaii,52,522220,Sales financing,2017,5,5,16832,1607,499,23,0,0,0,69.87
Hawaii,52,522291,Consumer lending,2017,6,16,22088,3837,1287,43,0,0,0,89.23
Hawaii,52,522292,Real estate credit,2017,40,90,110142,49322,11914,523,0,0,0,94.31
Hawaii,52,522310,Mortgage and nonmortgage loan brokers,2017,47,50,33356,13847,3225,165,0,0,0,83.92
Hawaii,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,9,10,25812,5867,1608,86,0,0,0,68.22
Hawaii,52,522390,Other activities related to credit intermediation,2017,19,36,18496,3749,906,129,0,0,0,29.06
Hawaii,52,523120,Securities brokerage,2017,25,30,101497,43379,12295,276,0,0,0,157.17
Hawaii,52,523920,Portfolio management,2017,54,120,120769,60738,15754,500,0,0,0,121.48
Hawaii,52,523930,Investment advice,2017,52,61,27292,8482,1961,105,0,0,0,80.78
Hawaii,52,524126,Direct property and casualty insurance carriers,2017,25,41,0,95387,30279,1202,0,0,0,79.36
Hawaii,52,524210,Insurance agencies and brokerages,2017,328,366,442680,146441,36417,2178,0,0,0,67.24
Hawaii,52,524292,Third party administration of insurance and pension funds,2017,21,27,173743,48013,11016,690,0,0,0,69.58
Idaho,52,522110,Commercial banking,2017,38,541,0,392365,106717,7468,0,0,0,52.54
Idaho,52,522291,Consumer lending,2017,42,124,86925,14138,4152,362,0,0,0,39.06
Idaho,52,522292,Real estate credit,2017,46,123,305585,104472,21633,957,0,0,0,109.17
Idaho,52,522310,Mortgage and nonmortgage loan brokers,2017,35,42,21005,10750,2504,167,0,0,0,64.37
Idaho,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,17,21,29327,9013,3209,170,0,0,0,53.02
Idaho,52,522390,Other activities related to credit intermediation,2017,26,91,37277,8158,1988,277,0,0,0,29.45
Idaho,52,523120,Securities brokerage,2017,64,124,160215,67304,17005,448,0,0,0,150.23
Idaho,52,523910,Miscellaneous intermediation,2017,31,31,16320,6131,1266,81,0,0,0,75.69
Idaho,52,523920,Portfolio management,2017,128,255,182238,64667,16390,693,0,0,0,93.31
Idaho,52,523930,Investment advice,2017,86,86,33814,11258,2401,165,0,0,0,68.23
Idaho,52,523991,"Trust, fiduciary, and custody activities",2017,13,13,5595,1717,410,39,0,0,0,44.03
Idaho,52,523999,Miscellaneous financial investment activities,2017,8,8,4242,562,155,14,0,0,0,40.14
Idaho,52,524113,Direct life insurance carriers,2017,25,48,0,21428,5345,303,0,0,0,70.72
Idaho,52,524114,Direct health and medical insurance carriers,2017,18,34,0,134999,39497,2017,0,0,0,66.93
Idaho,52,524126,Direct property and casualty insurance carriers,2017,54,89,0,86852,24657,1663,0,0,0,52.23
Idaho,52,524127,Direct title insurance carriers,2017,8,17,0,12100,2838,165,0,0,0,73.33
Idaho,52,524210,Insurance agencies and brokerages,2017,798,855,470987,153447,35163,3196,0,0,0,48.01
Idaho,52,524291,Claims adjusting,2017,18,33,19590,11568,2750,228,0,0,0,50.74
Illinois,52,521110,Monetary authorities - central bank,2017,3,3,4902000,184998,48258,1474,0,0,0,125.51
Illinois,52,522110,Commercial banking,2017,476,4459,0,7196315,2351556,80918,0,0,0,88.93
Illinois,52,522120,Savings institutions,2017,63,198,0,117279,29365,2324,0,0,0,50.46
Illinois,52,522130,Credit unions,2017,258,541,1717206,398000,111223,7422,0,0,0,53.62
